txn_id,vehicle_id,plaza_id,txn_date,txn_time,amount,status,vehicle_type,bank_name,balance_before,balance_after
TXN000037,VEH7419,PLZ003,2024-05-02,06:45:05,140,FAILED,Bus,Axis,556,556
TXN000038,VEH7333,PLZ004,2024-05-13,14:18:27,50,SUCCESS,Car,Axis,394,344
TXN000039,VEH5158,PLZ002,2024-05-31,03:44:34,140,SUCCESS,Bus,ICICI,230,90
TXN000040,VEH4406,PLZ003,2024-06-09,03:17:50,60,FAILED,Car,Axis,960,960
TXN000041,VEH4244,PLZ003,2024-02-19,07:21:25,120,SUCCESS,Bus,HDFC,812,692
TXN000042,VEH3868,PLZ003,2024-06-04,16:32:03,140,REVERSED,Bus,Kotak,893,893
TXN000043,VEH5931,PLZ005,2024-02-09,08:16:21,100,SUCCESS,Bus,Kotak,876,776
TXN000044,VEH6265,PLZ001,2024-06-26,16:01:59,150,REVERSED,Truck,Kotak,878,878
TXN000045,VEH8657,PLZ001,2024-01-06,22:55:06,60,FAILED,Car,HDFC,538,538
TXN000046,VEH4144,PLZ003,2024-05-31,17:15:57,140,SUCCESS,Bus,SBI,287,147
TXN000047,VEH1956,PLZ001,2024-06-25,10:15:47,70,SUCCESS,Car,Axis,985,915
TXN000048,VEH7559,PLZ003,2024-02-29,16:54:32,150,SUCCESS,Truck,Axis,255,105
TXN000049,VEH6362,PLZ001,2024-04-11,10:46:05,200,FAILED,Truck,Kotak,731,731
TXN000050,VEH8648,PLZ004,2024-05-31,02:34:45,120,SUCCESS,Bus,Kotak,716,596
TXN000051,VEH1581,PLZ002,2024-02-01,03:36:25,140,SUCCESS,Bus,Kotak,265,125
TXN000052,VEH7383,PLZ002,2024-03-07,08:41:56,70,SUCCESS,Car,ICICI,391,321
TXN000053,VEH3697,PLZ001,2024-03-15,18:57:41,180,SUCCESS,Truck,Axis,363,183
TXN000054,VEH9718,PLZ001,2024-03-24,08:51:40,50,SUCCESS,Car,Axis,581,531
TXN000055,VEH3154,PLZ004,2024-01-14,02:01:36,60,SUCCESS,Car,SBI,348,288
TXN000056,VEH5766,PLZ005,2024-04-01,10:06:59,180,SUCCESS,Truck,HDFC,319,139
TXN000057,VEH3946,PLZ006,2024-05-10,05:21:57,50,FAILED,Car,Axis,990,990
TXN000058,VEH6237,PLZ002,2024-06-09,10:01:57,70,SUCCESS,Car,Kotak,875,805
TXN000059,VEH3824,PLZ005,2024-04-06,12:23:12,100,SUCCESS,Bus,HDFC,445,345
TXN000060,VEH2555,PLZ005,2024-03-24,05:57:16,50,SUCCESS,Car,ICICI,417,367
TXN000061,VEH8444,PLZ001,2024-01-05,18:05:53,150,SUCCESS,Truck,Kotak,311,161
TXN000062,VEH7149,PLZ002,2024-03-26,04:09:33,50,FAILED,Car,SBI,365,365
TXN000063,VEH3031,PLZ004,2024-04-08,00:31:07,140,FAILED,Bus,HDFC,769,769
TXN000064,VEH2576,PLZ003,2024-03-09,15:10:54,180,SUCCESS,Truck,HDFC,366,186
TXN000065,VEH8731,PLZ003,2024-06-04,15:44:49,180,SUCCESS,Truck,Kotak,938,758
TXN000066,VEH7078,PLZ006,2024-01-24,18:47:12,150,REVERSED,Truck,HDFC,773,773
TXN000067,VEH1222,PLZ003,2024-03-09,17:29:12,70,FAILED,Car,Axis,703,703
TXN000068,VEH7590,PLZ001,2024-02-04,09:06:27,60,SUCCESS,Car,Kotak,891,831
TXN000069,VEH5830,PLZ001,2024-03-19,22:29:04,180,SUCCESS,Truck,Kotak,742,562
TXN000070,VEH7113,PLZ005,2024-01-14,21:22:55,120,SUCCESS,Bus,SBI,407,287
TXN000071,VEH2514,PLZ005,2024-05-02,12:53:32,200,SUCCESS,Truck,ICICI,718,518
TXN000072,VEH9177,PLZ002,2024-05-27,18:02:51,70,SUCCESS,Car,ICICI,282,212
TXN000073,VEH1338,PLZ002,2024-06-17,06:27:06,100,SUCCESS,Bus,Axis,374,274
TXN000074,VEH1731,PLZ005,2024-06-17,20:44:40,200,SUCCESS,Truck,ICICI,968,768
TXN000075,VEH2520,PLZ002,2024-04-04,08:09:19,200,SUCCESS,Truck,SBI,839,639
TXN000076,VEH1656,PLZ001,2024-03-19,02:53:20,120,SUCCESS,Bus,Kotak,311,191
TXN000077,VEH1856,PLZ001,2024-06-15,07:22:38,150,FAILED,Truck,HDFC,301,301
TXN000078,VEH5143,PLZ001,2024-02-12,21:37:21,60,SUCCESS,Car,Axis,772,712
TXN000079,VEH4433,PLZ003,2024-04-16,09:33:51,100,SUCCESS,Bus,ICICI,713,613
TXN000080,VEH1309,PLZ005,2024-05-13,10:38:27,100,SUCCESS,Bus,ICICI,722,622
TXN000081,VEH5030,PLZ001,2024-01-16,18:47:38,140,REVERSED,Bus,Kotak,394,394
TXN000082,VEH4545,PLZ001,2024-02-17,12:43:31,140,REVERSED,Bus,SBI,268,268
TXN000083,VEH3246,PLZ006,2024-03-12,00:35:55,100,SUCCESS,Bus,Axis,876,776
TXN000084,VEH3647,PLZ003,2024-05-09,21:47:41,120,SUCCESS,Bus,Axis,760,640
TXN000085,VEH1731,PLZ003,2024-03-09,01:50:02,140,SUCCESS,Bus,Kotak,960,820
TXN000086,VEH3658,PLZ003,2024-01-24,21:07:45,150,SUCCESS,Truck,Kotak,924,774
TXN000087,VEH6673,PLZ001,2024-04-13,08:46:12,150,FAILED,Truck,HDFC,822,822
TXN000088,VEH3256,PLZ006,2024-06-20,07:37:06,60,FAILED,Car,Axis,263,263
TXN000089,VEH5840,PLZ001,2024-06-20,20:59:31,50,SUCCESS,Car,Kotak,667,617
TXN000090,VEH3369,PLZ004,2024-05-04,06:17:48,60,SUCCESS,Car,Axis,251,191
TXN000091,VEH7470,PLZ005,2024-04-10,14:25:35,120,SUCCESS,Bus,HDFC,433,313
TXN000092,VEH2659,PLZ003,2024-04-23,09:38:02,180,SUCCESS,Truck,ICICI,593,413
TXN000093,VEH9228,PLZ003,2024-05-11,17:48:37,120,SUCCESS,Bus,ICICI,725,605
TXN000094,VEH2850,PLZ004,2024-03-05,09:49:36,150,FAILED,Truck,Kotak,767,767
TXN000095,VEH1374,PLZ002,2024-04-29,16:19:23,140,FAILED,Bus,HDFC,889,889
TXN000096,VEH4475,PLZ003,2024-02-07,19:17:25,140,SUCCESS,Bus,HDFC,940,800
TXN000097,VEH3160,PLZ001,2024-03-14,08:44:15,180,SUCCESS,Truck,ICICI,400,220
TXN000098,VEH2794,PLZ006,2024-02-19,13:50:09,180,FAILED,Truck,Kotak,978,978
TXN000099,VEH3872,PLZ006,2024-03-28,12:47:38,180,SUCCESS,Truck,Axis,718,538
TXN000100,VEH4038,PLZ003,2024-02-13,18:21:03,70,SUCCESS,Car,ICICI,881,811
TXN000101,VEH4107,PLZ002,2024-01-01,02:46:33,180,SUCCESS,Truck,Axis,510,330
TXN000102,VEH8092,PLZ003,2024-01-19,13:46:17,70,SUCCESS,Car,ICICI,647,577
TXN000103,VEH5644,PLZ006,2024-02-03,20:48:46,120,SUCCESS,Bus,SBI,417,297
TXN000104,VEH6834,PLZ003,2024-04-25,13:29:57,60,SUCCESS,Car,HDFC,302,242
TXN000105,VEH8935,PLZ002,2024-01-03,18:23:05,200,SUCCESS,Truck,SBI,292,92
TXN000106,VEH5681,PLZ004,2024-04-25,13:05:04,200,REVERSED,Truck,Axis,248,248
TXN000107,VEH4749,PLZ002,2024-05-08,22:46:34,200,SUCCESS,Truck,ICICI,481,281
TXN000108,VEH5731,PLZ004,2024-03-27,13:10:03,150,FAILED,Truck,ICICI,603,603
TXN000109,VEH5455,PLZ001,2024-05-08,15:19:59,50,SUCCESS,Car,SBI,535,485
TXN000110,VEH5710,PLZ006,2024-01-18,02:43:44,100,SUCCESS,Bus,Kotak,806,706
TXN000111,VEH1916,PLZ002,2024-02-03,09:20:13,180,FAILED,Truck,SBI,591,591
TXN000112,VEH9855,PLZ001,2024-01-18,06:16:23,140,SUCCESS,Bus,SBI,617,477
TXN000113,VEH4959,PLZ006,2024-01-03,23:19:52,180,SUCCESS,Truck,Kotak,326,146
TXN000114,VEH5249,PLZ002,2024-03-25,23:01:21,50,SUCCESS,Car,Kotak,690,640
TXN000115,VEH1350,PLZ003,2024-05-24,09:39:19,180,SUCCESS,Truck,HDFC,587,407
TXN000116,VEH1154,PLZ003,2024-06-21,16:19:39,60,SUCCESS,Car,SBI,222,162
TXN000117,VEH2261,PLZ003,2024-01-29,15:52:20,60,SUCCESS,Car,SBI,647,587
TXN000118,VEH4764,PLZ004,2024-01-29,10:59:18,120,SUCCESS,Bus,SBI,794,674
TXN000119,VEH3933,PLZ003,2024-01-02,22:43:46,120,SUCCESS,Bus,Axis,345,225
TXN000120,VEH7219,PLZ005,2024-01-31,05:25:52,70,SUCCESS,Car,Axis,794,724
TXN000121,VEH1842,PLZ002,2024-04-04,11:10:15,180,REVERSED,Truck,SBI,664,664
TXN000122,VEH1547,PLZ003,2024-02-25,23:17:06,120,SUCCESS,Bus,ICICI,214,94
TXN000123,VEH6488,PLZ006,2024-01-26,05:23:07,180,SUCCESS,Truck,HDFC,972,792
TXN000124,VEH8906,PLZ004,2024-04-04,13:25:40,150,SUCCESS,Truck,SBI,415,265
TXN000125,VEH4665,PLZ002,2024-06-04,18:24:28,200,FAILED,Truck,SBI,766,766
TXN000126,VEH2386,PLZ001,2024-01-21,05:28:45,180,SUCCESS,Truck,Kotak,988,808
TXN000127,VEH1492,PLZ005,2024-01-19,13:50:03,140,FAILED,Bus,ICICI,619,619
TXN000128,VEH2699,PLZ005,2024-01-12,08:43:00,70,SUCCESS,Car,Kotak,315,245
TXN000129,VEH8408,PLZ003,2024-03-29,20:13:34,180,REVERSED,Truck,HDFC,362,362
TXN000130,VEH6129,PLZ005,2024-03-01,14:18:04,70,FAILED,Car,Axis,261,261
TXN000131,VEH6341,PLZ006,2024-01-08,16:45:43,180,SUCCESS,Truck,Axis,289,109
TXN000132,VEH2068,PLZ004,2024-01-07,18:13:42,70,SUCCESS,Car,HDFC,578,508
TXN000133,VEH8669,PLZ006,2024-06-25,07:32:59,60,FAILED,Car,HDFC,556,556
TXN000134,VEH6656,PLZ004,2024-02-27,00:38:15,140,SUCCESS,Bus,Axis,973,833
TXN000135,VEH6793,PLZ003,2024-06-18,05:39:49,140,REVERSED,Bus,Axis,407,407
TXN000136,VEH5156,PLZ006,2024-02-26,13:27:20,150,SUCCESS,Truck,Axis,846,696
TXN000137,VEH5785,PLZ001,2024-03-16,21:49:21,120,FAILED,Bus,Kotak,680,680
TXN000138,VEH3547,PLZ003,2024-01-01,17:47:48,150,SUCCESS,Truck,ICICI,670,520
TXN000139,VEH5628,PLZ001,2024-05-03,10:26:12,200,SUCCESS,Truck,SBI,676,476
TXN000140,VEH4375,PLZ006,2024-05-31,19:16:16,70,SUCCESS,Car,SBI,957,887
TXN000141,VEH7521,PLZ003,2024-05-26,21:19:54,200,SUCCESS,Truck,HDFC,865,665
TXN000142,VEH7096,PLZ004,2024-06-17,10:41:33,180,SUCCESS,Truck,Axis,907,727
TXN000143,VEH4687,PLZ001,2024-02-17,00:11:19,60,SUCCESS,Car,SBI,474,414
TXN000144,VEH4159,PLZ002,2024-05-05,04:48:14,150,SUCCESS,Truck,ICICI,888,738
TXN000145,VEH5085,PLZ001,2024-03-06,13:30:23,70,SUCCESS,Car,ICICI,646,576
TXN000146,VEH3916,PLZ001,2024-06-12,11:45:34,140,SUCCESS,Bus,Kotak,861,721
TXN000147,VEH8139,PLZ001,2024-06-03,03:55:27,70,REVERSED,Car,SBI,755,755
TXN000148,VEH9514,PLZ004,2024-02-14,10:01:52,60,REVERSED,Car,HDFC,384,384
TXN000149,VEH1030,PLZ002,2024-04-29,04:48:51,100,REVERSED,Bus,HDFC,547,547
TXN000150,VEH4240,PLZ005,2024-03-02,09:02:26,60,SUCCESS,Car,HDFC,266,206
TXN000151,VEH4952,PLZ002,2024-02-26,21:35:55,60,SUCCESS,Car,Kotak,852,792
TXN000152,VEH9443,PLZ006,2024-03-30,07:29:16,200,SUCCESS,Truck,SBI,612,412
TXN000153,VEH2634,PLZ002,2024-05-22,07:32:39,150,SUCCESS,Truck,SBI,801,651
TXN000154,VEH7569,PLZ001,2024-05-07,10:11:12,150,SUCCESS,Truck,ICICI,311,161
TXN000155,VEH6111,PLZ001,2024-01-23,13:47:41,150,SUCCESS,Truck,ICICI,587,437
TXN000156,VEH5634,PLZ001,2024-06-07,01:24:40,120,SUCCESS,Bus,Kotak,433,313
TXN000157,VEH6642,PLZ003,2024-05-18,08:53:39,180,SUCCESS,Truck,SBI,293,113
TXN000158,VEH5846,PLZ005,2024-06-23,05:34:10,120,SUCCESS,Bus,SBI,638,518
TXN000159,VEH6019,PLZ006,2024-06-07,06:55:45,50,SUCCESS,Car,Axis,611,561
TXN000160,VEH3062,PLZ006,2024-01-09,21:32:48,60,SUCCESS,Car,ICICI,713,653
TXN000161,VEH2467,PLZ004,2024-01-01,04:24:08,180,SUCCESS,Truck,SBI,674,494
TXN000162,VEH7695,PLZ004,2024-01-04,19:20:41,140,FAILED,Bus,ICICI,881,881
TXN000163,VEH6664,PLZ004,2024-06-16,04:59:34,50,SUCCESS,Car,HDFC,344,294
TXN000164,VEH9076,PLZ005,2024-02-04,00:13:46,150,SUCCESS,Truck,HDFC,362,212
TXN000165,VEH8970,PLZ003,2024-03-10,06:36:04,100,SUCCESS,Bus,Kotak,948,848
TXN000166,VEH1514,PLZ002,2024-02-10,21:33:34,120,SUCCESS,Bus,Kotak,877,757
TXN000167,VEH3022,PLZ006,2024-04-23,08:50:36,60,SUCCESS,Car,Axis,397,337
TXN000168,VEH2544,PLZ001,2024-04-28,12:15:17,70,SUCCESS,Car,HDFC,783,713
TXN000169,VEH5024,PLZ001,2024-01-14,17:02:14,200,SUCCESS,Truck,SBI,235,35
TXN000170,VEH5979,PLZ006,2024-03-22,07:19:18,120,SUCCESS,Bus,Kotak,637,517
TXN000171,VEH8048,PLZ005,2024-04-07,21:41:00,180,SUCCESS,Truck,Kotak,854,674
TXN000172,VEH8875,PLZ004,2024-05-25,02:05:26,150,SUCCESS,Truck,ICICI,372,222
TXN000173,VEH7262,PLZ002,2024-04-10,12:51:07,150,SUCCESS,Truck,SBI,495,345
TXN000174,VEH8038,PLZ005,2024-01-30,11:06:00,120,SUCCESS,Bus,Axis,693,573
TXN000175,VEH2382,PLZ005,2024-05-18,06:08:14,200,SUCCESS,Truck,ICICI,946,746
TXN000176,VEH2874,PLZ004,2024-05-18,02:27:58,70,SUCCESS,Car,HDFC,838,768
TXN000177,VEH9161,PLZ005,2024-03-08,00:34:53,120,FAILED,Bus,ICICI,817,817
TXN000178,VEH1588,PLZ004,2024-05-27,05:27:03,140,SUCCESS,Bus,ICICI,465,325
TXN000179,VEH1019,PLZ005,2024-06-10,07:14:30,140,FAILED,Bus,ICICI,465,465
TXN000180,VEH3196,PLZ005,2024-05-12,17:09:17,180,SUCCESS,Truck,HDFC,823,643
TXN000181,VEH2911,PLZ004,2024-03-31,08:28:13,70,SUCCESS,Car,ICICI,881,811
TXN000182,VEH3947,PLZ005,2024-02-23,22:37:07,60,SUCCESS,Car,HDFC,746,686
TXN000183,VEH9252,PLZ001,2024-02-09,08:44:03,50,SUCCESS,Car,SBI,257,207
TXN000184,VEH5586,PLZ006,2024-03-09,10:31:26,180,SUCCESS,Truck,HDFC,937,757
TXN000185,VEH9316,PLZ001,2024-01-04,04:48:14,100,FAILED,Bus,Kotak,990,990
TXN000186,VEH3260,PLZ005,2024-03-10,20:54:13,180,SUCCESS,Truck,Axis,867,687
TXN000187,VEH7550,PLZ004,2024-06-06,19:22:58,140,SUCCESS,Bus,HDFC,541,401
TXN000188,VEH3532,PLZ006,2024-03-29,22:14:21,100,SUCCESS,Bus,SBI,868,768
TXN000189,VEH2577,PLZ002,2024-06-13,12:33:22,120,SUCCESS,Bus,SBI,528,408
TXN000190,VEH3930,PLZ003,2024-02-17,23:21:40,70,FAILED,Car,ICICI,982,982
TXN000191,VEH5998,PLZ001,2024-05-24,21:32:06,120,SUCCESS,Bus,ICICI,764,644
TXN000192,VEH3213,PLZ004,2024-01-26,19:40:42,120,SUCCESS,Bus,SBI,357,237
TXN000193,VEH3017,PLZ005,2024-03-29,14:16:22,50,SUCCESS,Car,ICICI,595,545
TXN000194,VEH8860,PLZ003,2024-05-15,18:21:48,150,SUCCESS,Truck,ICICI,252,102
TXN000195,VEH8278,PLZ006,2024-05-22,18:04:00,150,FAILED,Truck,SBI,800,800
TXN000196,VEH5466,PLZ002,2024-01-12,13:41:27,140,SUCCESS,Bus,HDFC,926,786
TXN000197,VEH4548,PLZ003,2024-05-09,09:15:34,70,SUCCESS,Car,Kotak,351,281
TXN000198,VEH7709,PLZ001,2024-05-16,23:21:12,150,SUCCESS,Truck,ICICI,319,169
TXN000199,VEH1578,PLZ006,2024-06-24,04:29:04,60,FAILED,Car,SBI,209,209
TXN000200,VEH3998,PLZ001,2024-03-21,16:20:23,200,SUCCESS,Truck,SBI,274,74
TXN000201,VEH7524,PLZ001,2024-02-18,22:35:12,100,SUCCESS,Bus,Axis,325,225
TXN000202,VEH6360,PLZ003,2024-04-11,21:38:30,120,SUCCESS,Bus,Axis,205,85
TXN000203,VEH7136,PLZ002,2024-02-15,23:28:37,150,FAILED,Truck,Kotak,235,235
TXN000204,VEH9413,PLZ006,2024-05-11,06:03:00,50,SUCCESS,Car,SBI,624,574
TXN000205,VEH4936,PLZ003,2024-03-11,19:29:22,140,SUCCESS,Bus,ICICI,683,543
TXN000206,VEH1870,PLZ001,2024-06-23,10:18:05,150,SUCCESS,Truck,Axis,385,235
TXN000207,VEH6082,PLZ002,2024-05-11,06:01:39,180,FAILED,Truck,Axis,585,585
TXN000208,VEH7216,PLZ004,2024-04-07,06:37:27,50,SUCCESS,Car,Axis,356,306
TXN000209,VEH1434,PLZ002,2024-06-29,15:15:05,140,SUCCESS,Bus,HDFC,956,816
TXN000210,VEH2290,PLZ006,2024-03-07,20:44:09,70,SUCCESS,Car,Axis,416,346
TXN000211,VEH1159,PLZ003,2024-06-16,11:38:26,150,SUCCESS,Truck,HDFC,895,745
TXN000212,VEH6877,PLZ001,2024-04-28,10:13:13,70,SUCCESS,Car,SBI,933,863
TXN000213,VEH7150,PLZ005,2024-01-14,21:55:47,100,SUCCESS,Bus,Kotak,583,483
TXN000214,VEH6003,PLZ006,2024-05-22,04:17:47,140,SUCCESS,Bus,Axis,794,654
TXN000215,VEH8449,PLZ006,2024-01-21,14:01:59,140,SUCCESS,Bus,SBI,963,823
TXN000216,VEH7490,PLZ006,2024-01-05,07:54:53,70,SUCCESS,Car,Kotak,368,298
TXN000217,VEH8134,PLZ004,2024-05-30,19:28:41,150,SUCCESS,Truck,HDFC,329,179
TXN000218,VEH2482,PLZ002,2024-06-24,17:13:34,60,SUCCESS,Car,SBI,859,799
TXN000219,VEH5453,PLZ001,2024-04-16,15:34:23,180,SUCCESS,Truck,Axis,425,245
TXN000220,VEH6814,PLZ004,2024-03-03,09:33:27,200,SUCCESS,Truck,Kotak,855,655
TXN000221,VEH5528,PLZ002,2024-01-30,22:06:03,150,SUCCESS,Truck,ICICI,456,306
TXN000222,VEH8940,PLZ006,2024-05-17,23:31:19,120,FAILED,Bus,Axis,247,247
TXN000223,VEH1729,PLZ004,2024-01-19,14:07:29,50,SUCCESS,Car,ICICI,726,676
TXN000224,VEH9326,PLZ001,2024-05-04,01:32:32,200,REVERSED,Truck,SBI,686,686
TXN000225,VEH9673,PLZ002,2024-03-09,11:40:22,180,SUCCESS,Truck,ICICI,368,188
TXN000226,VEH7246,PLZ006,2024-02-26,13:11:08,150,SUCCESS,Truck,Kotak,259,109
TXN000227,VEH5801,PLZ004,2024-04-08,10:40:36,140,REVERSED,Bus,Kotak,924,924
TXN000228,VEH8177,PLZ003,2024-02-09,07:29:44,120,SUCCESS,Bus,Kotak,523,403
TXN000229,VEH8082,PLZ005,2024-06-12,21:15:10,120,FAILED,Bus,Axis,288,288
TXN000230,VEH8587,PLZ006,2024-04-04,11:24:40,200,SUCCESS,Truck,Kotak,825,625
TXN000231,VEH1682,PLZ004,2024-01-29,09:22:27,140,FAILED,Bus,Axis,617,617
TXN000232,VEH7568,PLZ004,2024-05-29,17:13:50,60,SUCCESS,Car,Kotak,599,539
TXN000233,VEH3638,PLZ005,2024-03-01,14:20:34,150,SUCCESS,Truck,ICICI,480,330
TXN000234,VEH6505,PLZ003,2024-05-23,17:41:38,200,SUCCESS,Truck,ICICI,212,12
TXN000235,VEH7282,PLZ006,2024-01-08,14:30:24,140,SUCCESS,Bus,Axis,754,614
TXN000236,VEH8758,PLZ005,2024-05-13,03:56:15,60,SUCCESS,Car,HDFC,855,795
TXN000237,VEH7177,PLZ006,2024-06-24,20:46:02,140,FAILED,Bus,Kotak,921,921
TXN000238,VEH9935,PLZ002,2024-04-05,11:27:20,60,SUCCESS,Car,Axis,899,839
TXN000239,VEH9237,PLZ005,2024-04-19,12:25:20,120,SUCCESS,Bus,SBI,497,377
TXN000240,VEH8852,PLZ006,2024-03-07,07:03:51,140,SUCCESS,Bus,ICICI,461,321
TXN000241,VEH9328,PLZ006,2024-02-17,12:30:30,60,FAILED,Car,HDFC,522,522
TXN000242,VEH5324,PLZ003,2024-05-04,16:44:24,60,SUCCESS,Car,HDFC,322,262
TXN000243,VEH1910,PLZ004,2024-02-23,05:35:19,60,SUCCESS,Car,SBI,277,217
TXN000244,VEH8076,PLZ002,2024-01-04,23:14:05,120,FAILED,Bus,SBI,445,445
TXN000245,VEH1569,PLZ005,2024-01-22,03:17:48,70,SUCCESS,Car,ICICI,784,714
TXN000246,VEH2177,PLZ003,2024-05-05,05:42:35,180,FAILED,Truck,SBI,456,456
TXN000247,VEH4141,PLZ005,2024-06-15,20:05:47,70,REVERSED,Car,Axis,807,807
TXN000248,VEH6721,PLZ003,2024-03-30,14:37:56,200,SUCCESS,Truck,HDFC,584,384
TXN000249,VEH1846,PLZ004,2024-05-31,07:15:14,60,FAILED,Car,SBI,583,583
TXN000250,VEH7474,PLZ001,2024-05-21,07:47:24,140,SUCCESS,Bus,ICICI,500,360
TXN000251,VEH9449,PLZ006,2024-04-17,07:03:32,100,SUCCESS,Bus,Kotak,519,419
TXN000252,VEH6753,PLZ005,2024-02-28,01:38:32,140,SUCCESS,Bus,HDFC,335,195
TXN000253,VEH5033,PLZ002,2024-06-03,00:34:46,100,SUCCESS,Bus,Axis,752,652
TXN000254,VEH2616,PLZ001,2024-02-20,09:45:42,200,FAILED,Truck,Axis,801,801
TXN000255,VEH4093,PLZ003,2024-04-19,13:25:33,140,FAILED,Bus,HDFC,978,978
TXN000256,VEH7938,PLZ001,2024-03-07,16:53:21,60,SUCCESS,Car,ICICI,532,472
TXN000257,VEH8341,PLZ003,2024-02-23,10:27:28,120,SUCCESS,Bus,SBI,650,530
TXN000258,VEH3895,PLZ005,2024-06-15,03:44:56,70,SUCCESS,Car,SBI,357,287
TXN000259,VEH9311,PLZ005,2024-01-13,09:27:44,140,SUCCESS,Bus,Axis,781,641
TXN000260,VEH5470,PLZ002,2024-01-25,00:20:04,120,SUCCESS,Bus,HDFC,427,307
TXN000261,VEH2842,PLZ005,2024-01-04,01:47:29,70,SUCCESS,Car,ICICI,902,832
TXN000262,VEH3034,PLZ005,2024-05-19,02:05:33,180,SUCCESS,Truck,HDFC,680,500
TXN000263,VEH1702,PLZ004,2024-03-02,04:48:48,140,SUCCESS,Bus,Kotak,374,234
TXN000264,VEH5463,PLZ003,2024-04-09,11:22:49,200,SUCCESS,Truck,Axis,414,214
TXN000265,VEH7825,PLZ002,2024-03-13,11:44:04,100,SUCCESS,Bus,HDFC,421,321
TXN000266,VEH2015,PLZ005,2024-01-19,08:40:16,200,SUCCESS,Truck,Axis,438,238
TXN000267,VEH9068,PLZ005,2024-03-13,18:07:46,60,SUCCESS,Car,ICICI,863,803
